Date,Close,Volume
2023-09-06,3.883,715176127
2023-09-07,3.83,941034963
2023-09-08,3.809,818635834
2023-09-11,3.837,816650788
2023-09-12,3.832,594936910
2023-09-13,3.807,1032133123
2023-09-14,3.804,928283035
2023-09-15,3.787,1190622112
2023-09-18,3.8,985926393
2023-09-19,3.795,727006269
2023-09-20,3.777,634135498
2023-09-21,3.742,899197017
2023-09-22,3.817,1247116554
2023-09-25,3.789,700905651
2023-09-26,3.768,862908481
2023-09-27,3.778,1078053958
2023-09-28,3.764,1120612353
2023-10-09,3.754,875213072
2023-10-10,3.727,927932376
2023-10-11,3.735,893498708
2023-10-12,3.771,933521569
2023-10-13,3.736,1135095339
2023-10-16,3.693,1138980584
2023-10-17,3.705,888060300
2023-10-18,3.677,810270594
2023-10-19,3.6,1690368777
2023-10-20,3.582,1740446164
2023-10-23,3.544,2710241709
2023-10-24,3.549,1535012975
2023-10-25,3.569,1383351568
2023-10-26,3.582,1143609497
2023-10-27,3.636,1647662397
2023-10-30,3.652,961401373
2023-10-31,3.644,839660029
2023-11-01,3.642,811983400
2023-11-02,3.625,1075381583
2023-11-03,3.653,1057822683
2023-11-06,3.701,1176649562
2023-11-07,3.69,657529091
2023-11-08,3.679,1135321220
2023-11-09,3.682,818569445
2023-11-10,3.655,784176792
2023-11-13,3.65,674463335
2023-11-14,3.65,753317217
2023-11-15,3.675,994063130
2023-11-16,3.639,881556665
2023-11-17,3.634,1198450872
2023-11-20,3.645,858430360
2023-11-21,3.65,931605485
2023-11-22,3.611,762202706
2023-11-23,3.63,774971808
