index_key,index_label,period,start,end,direction,n_obs,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,6,1.2636682341052405,0.3103103103103103,False,,1.5455433244129337,721,10.181420199998684
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,7,1.1602914646159321,0.40540540540540543,False,,1.4997469638459682,720,11.796568000001571
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,8,0.7540999991314459,0.9259259259259259,False,,1.3313072498637406,719,12.560934099998121
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,9,1.092476508978866,0.12512512512512514,False,,1.1859804525133066,718,13.722174099999393
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,V_t -> P_t,727,10,0.7764741944602364,0.5595595595595596,False,,1.0652587020411968,717,15.642856999998912
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,735,1,0.7267026905221369,0.5605605605605606,False,,1.3002637930195882,734,5.931751100000838
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,735,2,0.7102006236679353,0.9409409409409409,False,,1.630196001498075,733,7.055383400002029
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,735,3,0.9408825054249532,0.8558558558558559,False,,1.7792091023064454,732,7.667394200001581
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,735,4,0.8722981861587401,0.948948948948949,False,,1.671866383601845,731,8.345060499999818
nikkei225,NI 225,2020-2023,2020-09-27,2023-09-26,V_t -> P_t,735,5,1.0595095354205364,0.8348348348348348,False,,1.7224808474026072,730,9.273031500000798
